id,Title,Content,Date,Permalink,Categories,Tags
1,"Reactivation 2025","<!-- wp:paragraph {""fontSize"":""medium""} -->
<p class=""has-medium-font-size"">After years of contemplating I finally simplified my websites to just two sites: <strong>saiht.de</strong> and <strong>kreier.org</strong>. I found three different older Wordpress installations, and combined them here into <strong>saiht.de/blog</strong>. And even though https encrypted subdomains work again, I keep it in the subfolder for the time being. Both at the same time does not work with PHP and Wordpress. I'll just use it for some static pages with relative folders or static link addresses.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph {""fontSize"":""medium""} -->
<p class=""has-medium-font-size"">During the years 2008 to 2016 I was writing in German. Now in 2025 I finally switched to English. Maybe I will translate some of the older posts one day, and will have to adapt the tags. Time will tell. So far there are 93 posts here over the last 19 years:</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":728,""width"":""645px"",""height"":""auto"",""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-full is-resized""><img src=""https://saiht.de/blog/wp-content/uploads/2025/12/image.png"" alt="""" class=""wp-image-728"" style=""width:645px;height:auto""/></figure>
<!-- /wp:image -->

<!-- wp:paragraph {""fontSize"":""medium""} -->
<p class=""has-medium-font-size"">As of today, December 18th, 2025, this wordpress installation is live again. More statistics on notetaking, diaries and projects is about to follow. I currently use 23 subdomains at <strong>kreier.org</strong>: 7 related to projects, 2 to school and 3 to ""Schule"" - from the older <strong>hofkoh.de</strong> site. The saiht.de site has 27 subdomains, but more on that later.</p>
<!-- /wp:paragraph -->",2025-12-18,https://saiht.de/blog/2025/12/18/reactivation-2025/,Projects,website
5,"One year later, is the diary ready?","<!-- wp:paragraph -->Exactly one year ago I was challenged with a diary that should also include experiences from the age of five. While I certainly lack notes from that early in my childhood, I actually have made some efford to document my life. Can I consolidate all the scattered information from websites, projects, paper copies, photo albums and apps like Instagram?<br /><br />The project and conversation was circulating my mind <br /><br />And here the message for today to the person, that inspired me to write this post and update my documentation:<br /><br />Bitte nicht auf die folgenden Nachrichten antworten. Du musst sie nicht einmal lesen. Ich schreibe das nur wegen meiner eigenen geistigen Zurechnungsfähigkeit und mentalen Verfassung. Ich weiss, ich könnte es ja auch einfach NICHT senden. Wie gesagt, bitte ignorieren.<br /><br />Vor exakt einem Jahr hast du deine recht umfangreiche Anforderungsliste mit mir geteilt. Um etwa 20:00 Uhr erwähntest du die Notwendigkeit, das eigene Leben im Detail zu reflektieren. Das beinhalted auch Erlebnisse aus der Kindheit, wenn man nur 5 Jahre alt ist.<br /><br />Zwar haben wir die Details dieser Reflektion nicht besprochen, aber für mich entstand neben einen Besuch beim Psychater auch das Bild eines Tagebuches. Und in den vergangenen Jahren habe ich tatsächlich versucht, Einzelheiten meines Lebens in Bildern, Notizen, Büchern, Webseiten, Blogs, Apps und unzähligen ToDo-Listen festzuhalten. Wäre es möglich, das alles zu einem Ort zusammenzuführen und miteinander zu verlinken? Und vielleicht auch etwas Statistik herauszuziehen? Denn mehr als 18.000 Tage sind eine sehr lange Zeit!<br /><br />Inspiration kam unter anderem von Github, wo meine Beiträge seit dem 7. Oktober 2018 detailliert festgehalten werden. In den 2822 Tagen seit jenem Tag im Oktober habe ich fast 10000 Beiträge erstellt, und Github hat eine schöne Grafik für den Umfang für jeden einzelnen Tag erstellt. So sieht das dann aus.<br /><br />https://github.com/kreier?tab=overview&from=2018-10-01&to=2018-10-31<br /><br />Nun hatte ich also ein Jahr, um etwas vergleichbares für meine Projekte, Freizeitaktivitäten, Reisen und den normalen Alltag zu erstellen. Hier das Ergebnis.<br /><br />Übrigens frage ich mich seit mehr als einem halben Jahr, ob ich diese Nachricht überhaupt senden sollte, oder nicht einfach wie in den 99.9% anderen Fällen einfach schweigen sollte. Da die Nachricht nun ja doch gesendet wurde, habe ich wohl gute Gründe gefunden. Wie auch immer, eine Empfehlung bleibt: Bitte ignorieren, und nicht antworten. Alles Gute!<!-- /wp:paragraph -->",1970-01-01,https://saiht.de/blog/?p=5,Uncategorized,
7,"Wo ist der Arbeitgeber","Weder nuclear power noch Turbinenhersteller Siemens suchen meine Arbeitskraft. Was mache ich noch hier in Deutschland? Immerhin hat uns jetzt eine Wirtschaftskrise erwischt, umso mehr betrifft sie Russland. Bleiben wir mal gespannt! Ziel: Ab 1. April diesen Jahres Arbeit zu haben. Ergebnis folgt ...",2009-02-02,https://saiht.de/blog/2009/02/02/wo-ist-der-arbeitgeber-2/,Sabbatical,"Arbeit in Russland"
8,"Krank zum unpassenden Zeitpunkt","Was soll das? In zwei Tagen will ich in den Urlaub fahren, doch mein Kopf brummt wie ein Brummkreisel. Der Rechtsanschlag des Thermometers ist jetzt auch verbogen. Dabei werde ich sonst nie krank. Hier helfen auch keine Gesundheitstees - daran gesundet wohl nur der Hersteller.

Immerhin kann ich ein paar Zeilen ins Internet stellen. So habe ich endlich perihels Beitrag in den Tschechientouren eingefügt. Die angesprochenen Bilder kann ja jmd. anderes ergänzen. Zu finden unter:

<a href=""http://tschechien.saiht.de/"">http://tschechien.saiht.de/</a>

Auch celinas  Beitrag zu meinem vierten Projekt habe ich nach einem Jahr erweitert:

<a href=""http://saiht.de/projekte/04ledigsein.html"">saiht.de/projekte/ledigsein</a>",2008-10-02,https://saiht.de/blog/2008/10/02/krank-zum-unpassenden-zeitpunkt/,Leisure,Urlaub
11,"Projekt der HTW Berlin","Heute morgen fuhr ich mit der U-Bahn zur Arbeit an der Clayschule in Berlin Rudow. Eine neue Werbung weckte mein Interesse:<a href=""http://www.living-equia.com/de""> living equia</a> - oder wie wollen wir in Zukunft wohnen? Die Hochschule für Technik und Wirtschaft stellte ein Projekt eines autarken Wohnhauses vor und lud zum Tag der offenen Tür ein. Der Hochschulstandort befand sich fast auf meinem Arbeitsweg, und so stattete ich ihnen einen Besuch ab. Weitere Infos konnte ich gleich auf dem iPad recherchieren.",2010-06-10,https://saiht.de/blog/2010/06/10/projekt-der-htw-berlin/,Projects,"autarkes Wohnen|Freizeit"
12,"Man liest mich","Ich hatte fast vergessen, dass ich dieses Blog besitze. Da schreibt mir doch glatt jemand einen Kommentar rein - ist das nicht verwunderlich! Gut, dann melde ich mich mal zurück. Um etwas Platz zu sparen und nicht alles doppelt zu sagen: Ich war schon wieder im Urlaub, diesmal für 3 Wochen in Amerika. Die passende Internetseite habe ich im Artikel zuvor erwähnt.<a href=""http://saiht.de/urlaub/2008_usa.html""></a>

Einige Nachträge werde ich aber noch einarbeiten. Es fehlen Bilder und ""unsere Musik"". Wird demnächst erledigt. Na dann bis nächstes Jahr!",2008-12-28,https://saiht.de/blog/2008/12/28/man-liest-mich/,Projects,Amerika|Urlaub|wordpress
14,"Baumhaus - Ebene eins","Das ist nur ein Platzhalterbeitrag, Bilder der Planung und Ausführung vom Frühjahr 2013 folgen. Immerhin, erste professionelle Zeichnungen waren Anfang Juni fertiggestellt. Im August war die erste Ebene auch schon zu nutzen, zum Beispiel zum Kaffeetrinken nach erfolgreicher ""Wurzelkur"" im Vorgarten.

<a href=""http://hofkoh.de/wp-content/uploads/2013/06/baumhaus_ebene1.jpg""><img class=""size-medium wp-image-19 aligncenter"" src=""http://hofkoh.de/wp-content/uploads/2013/06/baumhaus_ebene1-300x213.jpg"" alt=""baumhaus_ebene1"" width=""300"" height=""213"" /></a>

Hier ist die <a href=""http://hofkoh.de/wp-content/uploads/2013/06/ErsteEbene.pdf"">Planung als PDF</a>.",2013-06-06,https://saiht.de/blog/2013/06/06/baumhaus-ebene-eins/,Projects,Baumhaus
28,"Aufstieg in die Top5000 bei Wikipedia","Eigentlich wollte ich nur ein paar kleine Beiträge in Wikipedia schreiben. Seit 2005 bin ich dort registiert - neben 700.000 anderen Personen. Doch dank der neuen Sichtungsfunktion wurden meine Änderungen und Beiträge gelb hinterlegt, so als ob sie nicht vertrauenswürdig wären. Dabei sind zur Zeit nur 26.352 Personen aktiv. Und ich weiß doch genau, was ich schreibe.

Also habe ich mich erst um die Frage der Sichterrechte gekümmert. Dazu benötigt man mindestens 300 Artikel-Edits, also Änderungen (auch Neuerstellung) von Artikeln. Private Seiten zählen nicht. Nach 2 Wochen hatte ich diese zusammen und wurde zu einem der 6538 Sichter befördert. Jetzt konnte ich selbst all meinen Arbeiten einen offiziellen Status geben.

Wenig später stieß ich auf die Liste der 'fleißigsten Wikipedianer'. Die Angabe ist nur relativ, denn manch einer ändert nur Anführungsstriche und Leerzeichen und erreicht damit einen enormen Edit-Wert. Hier ist die Liste:

<a href=""http://de.wikipedia.org/wiki/Wikipedia:Beitragszahlen"">http://de.wikipedia.org/wiki/Wikipedia:Beitragszahlen</a>

Um in diese Liste zu gelangen, benötigt man 1000 Artikeledits und eine Eintragung auf der Opt-In Liste. Nach 2 weiteren Wochen war es dann soweit: Seit heute stehe ich auch in dieser Liste. Jetzt muss ich mich nur etwas nach oben arbeiten, um nicht weiter aufzufallen. Noch bin ich auf Platz 4658.",2009-03-23,https://saiht.de/blog/2009/03/23/aufstieg-in-die-top5000-bei-wikipedia/,Projects,Projekte|wikipedia
33,"Architektur mit SketchUp","Nach ersten Skizzen auf Papier habe ich das Projekt digital mit Google SketchUp erstellt. Das Design skandinavischer Häuser gefällt mir sehr gut, also habe ich es virtuell rot angestrichen und die Kanten mit weißen Brettern verkleidet. So sieht es einfach gerändert (ohne bumpmapping, shader 3.0, raytracing oder environment  lightning) aus:

<a href=""http://hofkoh.de/wp-content/uploads/2014/01/Gartenhaus_2012-06-10.jpg""><img class=""alignnone size-medium wp-image-34"" src=""http://hofkoh.de/wp-content/uploads/2014/01/Gartenhaus_2012-06-10-300x252.jpg"" alt=""Gartenhaus_2012-06-10"" width=""300"" height=""252"" /></a>

Die Projektdatei gibt es hier natürlich auch: <a href=""http://hofkoh.de/wp-content/uploads/2014/01/Gartenhaus.zip"">Gartenhaus.zip</a>. Software zum Bearbeiten gibt es <a href=""http://www.sketchup.com/de"">kostenlos im Internet</a>.",2012-06-10,https://saiht.de/blog/2012/06/10/architektur-mit-sketchup/,Projects|Schule,"autarkes Wohnen|Freizeit"
37,"upgrade auf WordPress 2.5","Seit jetzt läuft eine neue WordPress-installation. Im Januar hatte evanzo ja einfach alle Daten gelöscht, daher auch die Datenbank und somit alle alten Einträge. Werde mich mal mit mysldump beschäftigen, um die datenbank zu sichern und mir selbst per email zuzusenden.",2008-04-17,https://saiht.de/blog/2008/04/17/upgrade-auf-wordpress-25/,Projects,website|wordpress
